date,cases,deaths,recovery
1/21/20,1,0,0
1/22/20,1,0,0
1/23/20,1,0,0
1/24/20,2,0,0
1/25/20,3,0,0
1/26/20,5,0,0
1/27/20,5,0,0
1/28/20,5,0,0
1/29/20,5,0,0
1/30/20,6,0,0
1/31/20,7,0,0
2/1/20,8,0,0
2/2/20,11,0,0
2/3/20,11,0,0
2/4/20,11,0,0
2/5/20,12,0,1
2/6/20,12,0,1
2/7/20,12,0,1
2/8/20,12,0,1
2/9/20,12,0,2
2/10/20,13,0,2
2/11/20,13,0,2
2/12/20,14,0,2
2/13/20,15,0,2
2/14/20,15,0,3
2/15/20,15,0,3
2/16/20,15,0,5
2/17/20,25,0,5
2/18/20,25,0,5
2/19/20,25,0,5
2/20/20,27,0,5
2/21/20,30,0,5
2/22/20,30,0,5
2/23/20,30,0,5
2/24/20,43,0,5
2/25/20,45,0,6
2/26/20,60,0,6
2/27/20,60,0,6
2/28/20,65,0,7
2/29/20,70,1,7
3/1/20,88,3,10
3/2/20,104,6,13
3/3/20,125,10,13
3/4/20,161,12,13
3/5/20,228,12,16
3/6/20,311,15,16
3/7/20,428,19,16
3/8/20,547,22,21
3/9/20,748,26,38
3/10/20,1018,31,38
3/11/20,1263,37,38
3/12/20,1668,43,44
3/13/20,2224,50,48
3/14/20,2898,60,52
3/15/20,3600,68,52
3/16/20,4507,91,52
3/17/20,5905,116,63
3/18/20,8345,157,132
3/19/20,12384,203,157
3/20/20,17990,264,210
3/21/20,24511,343,258
3/22/20,33043,435,327
3/23/20,43477,550,518
3/24/20,53892,731,681
3/25/20,68489,989,826
3/26/20,85497,1275,1426
3/27/20,102729,1648,2263
3/28/20,123581,2134,2901
3/29/20,142194,2487,3782
3/30/20,163589,3068,4386
3/31/20,188049,3911,5981
4/1/20,214711,4841,7884
4/2/20,244423,6232,8335
4/3/20,276501,7121,8942
4/4/20,311536,8499,12687
4/5/20,336771,9654,15872
4/6/20,366227,10958,16571
4/7/20,397748,12957,17244
4/8/20,429316,14803,17904
4/9/20,463684,16673,18086
4/10/20,496914,18710,23427
4/11/20,528397,20574,25285
4/12/20,555327,22055,35118
4/13/20,580853,23606,43285
4/14/20,607285,26080,46230
4/15/20,637056,28582,57025
4/16/20,668533,30723,61068
4/17/20,699853,32910,64041
4/18/20,728094,34726,68864
4/19/20,753314,36109,69301
4/20/20,780449,37795,72001
4/21/20,805771,40316,76211
4/22/20,834340,42501,83966
4/23/20,867706,44508,96221
4/24/20,904608,46503,110162
4/25/20,938590,48310,118781
4/26/20,965214,49465,136591
4/27/20,988250,50819,140197
4/28/20,1012683,53034,155168
4/29/20,1039318,55399,162300
4/30/20,1069722,57570,180869
5/1/20,1100589,59785,197357
5/2/20,1131954,62119,215200
5/3/20,1163708,64479,235122
5/4/20,1195849,66857,256558
5/5/20,1228371,69286,279920
5/6/20,1261272,71763,305389
5/7/20,1294549,74278,333124
5/8/20,1328200,76834,363349
5/9/20,1362222,79435,396290
5/10/20,1396612,82080,432190
5/11/20,1431367,84768,471318
5/12/20,1466484,87500,513966
5/13/20,1501960,90277,560450
5/14/20,1537792,93099,611116